asunto,cuerpo,etiqueta,remitente,tiene_links,errores_gramaticales,todo_mayusculas,solicita_info_personal,clasificacion
Oferta Increíble: ¡Gana un Millón!,¡Felicidades! Ha ganado un millón de dólares. Reclame su premio aquí: [enlace sospechoso],spam,ganador@ofertasespeciales.com,1,1,1,1,Spam
"Re: Tu pedido ha sido enviado,""Estimado cliente, su pedido ha sido enviado. Puede rastrearlo aquí: [enlace legítimo]"",ham,pedidos@example.com,True,False,False,False,Spam",,,,1,1,1,1,
"Actualiza tu contraseña ahora,""Estimado usuario, por favor actualiza tu contraseña para mejorar la seguridad de tu cuenta. [enlace sospechoso]"",spam,seguridad@emailsinseguros.net,True,False,False,True,Spam",,,,,,,,
Tu paquete está listo para ser recogido,Tu paquete ya está listo para ser recogido en la oficina de correos más cercana. [enlace legítimo],ham,notificaciones@correo.com,1,1,1,1,Ham
"Gana un viaje a Hawaii,""Felicidades, ha ganado un viaje a Hawái para dos personas. Haga clic aquí para reclamar su premio: [enlace sospechoso]"",spam,premios@sorteosfantasticos.net,True,False,False,False,Spam",,,,,,,,
Problemas con tu cuenta,Hemos detectado actividad inusual en tu cuenta. Por favor verifica tu información aquí: [enlace sospechoso],spam,seguridad@cuentasinseguras.com,True,False,False,True,Spam
"Mensaje importante de tu banco,""Estimado cliente, por favor verifica tu información bancaria aquí: [enlace sospechoso]"",spam,banco@correofalso.com,True,False,False,True,Spam",,,,,,,,
Tu pedido #12345 ha sido enviado,Tu pedido #12345 ha sido enviado. Haz clic aquí para rastrearlo: [enlace legítimo],ham,pedidos@tiendaonline.com,True,False,False,False,Spam
¡¡GRAN OFERTA!!,¡Aprovecha nuestra gran oferta! ¡Compra ahora!,spam,ofertas@grandesofertas.net,False,True,True,False,Spam
"Re: Reunión mañana,""Hola Juan, recuerda nuestra reunión mañana a las 10:00 AM."",ham,ana@gmail.com,False,False,False,False,Ham",,,,,,,,
Mensaje urgente,Por favor responde inmediatamente a este correo.,spam,urgente@correoimportante.net,False,False,False,False,HAM
Oferta especial: 50% de descuento,Aprovecha nuestra oferta especial del 50% de descuento en todos nuestros productos. [enlace sospechoso],spam,descuentos@ofertasirresistibles.net,True,False,False,False,Spam
Tu cuenta ha sido suspendida,Tu cuenta ha sido suspendida debido a actividad sospechosa.  [enlace sospechoso],spam,seguridad@cuentacomprometida.com,True,False,False,True,Spam
"Actualización de seguridad,""Por favor, actualiza tu información de seguridad. [enlace sospechoso]"",spam,seguridad@actualizatucuenta.net,True,False,False,True,Spam",,,,,,,,
"Re: Cita médica,""Doctor, ¿podría reprogramar mi cita para el próximo martes?"",ham,paciente@gmail.com,False,False,False,False,Ham",,,,,,,,
¡Fel#cidades! ¡Has ganado un premio!,¡Felici#ades! Ha ganado un premio. Reclame su premio aquí: [enlace sospechoso],spam,premios@ganapremios.com,True,False,True,False,Spam
Recuerda pagar tu factura,Recuerda pagar tu factura antes de la fecha de vencimiento.,ham,facturas@empresa.com,False,False,False,False,Ham
Compra tu nuevo auto hoy,Compra tu nuevo auto hoy con nuestros increíbles precios!,spam,autos@ventaautos.com,False,False,False,False,Spam
"Problemas con tu cuenta de correo electrónico,""Hemos detectado actividad sospechosa en tu cuenta. Por favor, inicia sesión aquí: [enlace sospechoso]"",spam,seguridad@correoelectronico.com,True,False,False,True,Spam",,,,,,,,
"Re: Proyecto X,""Hola equipo, actualicemos el estado del proyecto X."",ham,jefe@empresa.com,False,False,False,False,Ham",,,,1,1,1,1,
¡Gana un iPhone!,¡Gana un iPhone gratis! ¡Participa ahora!,spam,iphone@ganaiphone.com,1,1,1,1,Spam
Recuerda tu cita con el dentista,Recuerda tu cita con el dentista para mañana a las 3:00 PM.,ham,citas@dentista.com,False,False,False,False,Ham
Oferta exclusiva para ti,Oferta exclusiva solo para ti. ¡Compra ahora!,spam,ofertas@exclusivo.net,False,False,False,False,Spam
"Tu envío está en camino,""Tu envío está en camino, puedes rastrearlo aquí [enlace legítimo]"",ham,envios@empresa.com,True,False,False,False,Spam",,,,,,,,HAM
"¡Oferta limitada por tiempo!,""Oferta limitada por tiempo, no te quedes sin tu producto!"",spam,ofertas@limitadas.net,False,True,True,False,Spam",,,,,,,,
"Re: Planificación del evento,""Hola equipo, revisemos la planificación del evento."",ham,eventos@empresa.com,False,False,False,False,Ham",,,,,,,,
Problemas con tu pago,Hemos detectado un problema con tu pago reciente. [enlace sospechoso],spam,pagos@pagosfraudulentos.net,True,False,False,True,Spam
¡Gana un auto nuevo!,¡Gana un auto nuevo! ¡Participa ahora!,spam,autos@ganaautos.com,False,False,True,False,Spam
"Re: Vacaciones,""Hola, ¿cómo van los preparativos para las vacaciones?"",ham,amigo@gmail.com,False,False,False,False,Spam",,,,,,,,
¡Oferta irresistible!,¡Oferta irresistible que no puedes dejar pasar!,spam,ofertas@irresistible.net,False,True,True,False,Spam
Recuerda tu cita,Recuerda tu cita para mañana a las 10:00 AM.,ham,citas@empresa.com,False,False,False,False,SPAM
Tu pedido ha sido confirmado,Tu pedido ha sido confirmado. [enlace legítimo],ham,confirmacion@tienda.com,True,False,False,False,Spam
Oferta Increíble: ¡Gana un Millón!,¡Felicidades! Ha ganado un millón de dólares. Reclame su premio aquí: [enlace sospechoso],spam,ganador@ofertasespeciales.com,1,1,1,1,Spam
Tu paquete está listo para ser recogido,Tu paquete ya está listo para ser recogido en la oficina de correos más cercana. [enlace legítimo],ham,notificaciones@correo.com,True,False,False,False,Spam
"Gana un viaje a Hawaii,""Felicidades# ha ganado un viaje a Hawái para dos personas. Haga clic aquí para reclamar su premio: [enlace sospechoso]"",spam,premios@sorteosfantasticos.net,True,False,False,False,Spam",N#ne,,,,,,,
Problemas con tu cuenta,Hemos detectado actividad inusual en tu cuenta. Por favor verifica tu información aquí: [enlace sospechoso],spam,seguridad@cuentasinseguras.com,1,1,1,1,Spam
"Mensaje importante de tu banco,""Estimado cliente, por favor verifica tu información bancaria aquí: [enlace sospechoso]"",spam,banco@correofalso.com,True,False,False,True,Spam",,,,1,1,1,1,
Tu pedido #12345 ha sido enviado,Tu pedido #12345 ha sido enviado. Haz clic aquí para rastrearlo: [enlace legítimo],ham,pedidos@tiendaonline.com,True,False,False,False,Spam
¡¡GRAN OFERTA!!,¡Aprovecha nuestra gran oferta! ¡Compra ahora!,spam,ofertas@grandesofertas.net,1,1,1,1,Spam
"Re: Reunión mañana,""Hola Juan, recuerda nuestra reunión mañana a las 10:00 AM."",ham,ana@gmail.com,False,False,False,False,Spam",,,,,,,,HAM
Mensaje urgente,Por favor responde inmediatamente a este correo.,spam,urgente@correoimportante.net,False,False,False,False,Spam
Oferta especial: 50% de descuento,Aprovecha nuestra oferta especial del 50% de descuento en todos nuestros productos. [enlace sospechoso],spam,descuentos@ofertasirresistibles.net,1,1,1,1,Spam
Tu cuenta ha sido suspendida,Tu cuenta ha sido suspendida debido a actividad sospechosa.  [enlace sospechoso],spam,seguridad@cuentacomprometida.com,True,False,False,True,Spam
"Actualización de seguridad,""Por favor, actualiza tu información de seguridad. [enlace sospechoso]"",spam,seguridad@actualizatucuenta.net,True,False,False,True,Spam",,,,,,,,
"Re: Cita médica,""Doctor, ¿podría reprogramar mi cita para el próximo martes?"",ham,paciente@gmail.com,False,False,False,False,Spam",,,,,,,,
¡Felicidades! ¡Has ganado un premio!,¡Felicidades! Ha ganado un premio. Reclame su premio aquí: [enlace sospechoso],spam,premios@ganapremios.com,True,False,True,False,Spam
Recuerda pagar tu factura,Recuerda pagar tu factura antes de la fecha de vencimiento.,ham,facturas@empresa.com,False,False,False,False,Spam
Compra tu nuevo auto hoy,Compra tu nuevo auto hoy con nuestros increíbles precios!,spam,autos@ventaautos.com,False,False,False,False,Spam
Oferta Increíble: ¡Gana un Millón!,¡Felicidades! Ha ganado un millón de dólares. Reclame su premio aquí: [enlace sospechoso],spam,premios@ofertasespeciales.com,True,True,True,True,Spam
"Re: Tu cuenta ha sido comprometida,""Estimado usuario, hemos detectado actividad sospechosa en su cuenta. Por favor, verifique su información aquí: [enlace sospechoso]"",spam,seguridad@banconacional.com.uy,True,False,False,True,Spam",,,,,,,,
Actualización de tu pedido #12345,Su pedido ha sido actualizado. Haga clic aquí para ver los detalles: [enlace seguro],ham,pedidos@amazon.com,True,False,False,False,Spam
"Re: Cita médica mañana a las 10 AM,""Doctora, ¿podría confirmar la cita de mañana a las 10 AM?"",ham,paciente@gmail.com,False,False,False,False,Ham",,,,,,,,
Nuevo correo electrónico,¡Hola! ¿Qué tal todo?,ham,amigo@yahoo.com,False,False,False,False,Ham
Oferta Limitada: ¡50% de descuento!,¡No te pierdas esta increíble oferta! ¡50% de descuento en todos nuestros productos. Compra ahora: [enlace sospechoso],spam,ofertas@megapromociones.net,1,1,1,1,Spam
"Tu paquete ha llegado,""Su paquete ha llegado a la oficina de correos. Para más información, visite: [enlace seguro]"",ham,notificaciones@correos.com,True,False,False,False,Spam",,,,,,,,
"Gana un viaje a Hawai,""Felicidades, ha ganado un viaje a Hawai. Reclame su premio aquí: [enlace sospechoso]"",spam,concursos@viajesgratis.com,True,False,False,True,Spam",,,,,,,,
"Re: Reunión de trabajo,""Buenos días, adjunto la presentación para la reunión de esta tarde."",ham,compañero@outlook.com,False,False,False,False,Ham",,,,,,,,
"ACTUALIZACION DE SU CUENTA,""Estimado cliente, actualice su información de pago para evitar la suspensión de su cuenta: [enlace sospechoso]"",spam,seguridad@bancofalso.com,True,True,True,True,Spam",,,,,,,,
"Re: Proyecto X,""Estimado equipo, actualizacion sobre el proyecto X. Saludos."",ham,jefe@empresa.com,False,False,False,False,Ham",,,,,,,,
"GANE UN AUTO NUEVO!!!,""Felicidades, has ganado un auto nuevo. Reclame su premio aquí: [enlace sospechoso]"",spam,premios@ganautos.com,True,True,True,True,Spam",,,,,,,,HAM
"Re: Planificación del evento,""Hola equipo, les adjunto la planificación del evento. Saludos cordiales."",ham,organizador@gmail.com,False,False,False,False,Ham",,,,,,,,
"Solicitud de amistad,""Hola, me gustaría agregarlos a mis contactos."",ham,nuevoamigo@yahoo.com,False,False,False,False,Ham",,,,,,,,
"Importante: Actualice su contraseña,""Por motivos de seguridad, actualice su contraseña inmediatamente: [enlace sospechoso]"",spam,seguridad@tucuenta.com.do,True,False,False,True,Spam",,,,,,,,
