label,message
ham,Buen día, les recuerdo que mañana tendremos la reunión del proyecto final a las 10:00 AM en el aula virtual.
ham,Hola, tu contraseña fue actualizada correctamente. Si tú realizaste este cambio, no necesitas hacer nada más.
ham,Tu paquete ha sido enviado y llegará entre el 20 y el 22 de febrero. Puedes revisar el seguimiento en tu cuenta.
ham,Buenas tardes, te adjunto el archivo con la actividad que quedamos en revisar. Cualquier comentario me dices.
ham,Adjuntamos tu comprobante de inscripción del semestre. Revisa que los datos sean correctos.
ham,Recordatorio: mañana tenemos junta del equipo a las 9:30 AM. Favor de confirmar asistencia.
ham,Tu cita médica está confirmada para el jueves a las 16:00 horas.
ham,Gracias por enviar tu tarea. La revisión estará lista mañana.
ham,El sistema ha registrado tu solicitud correctamente. Nos comunicaremos contigo pronto.
ham,Se ha generado tu comprobante de pago. Puedes descargarlo desde la plataforma.
ham,La reunión semanal se moverá a las 12:00 PM. Avísame si hay algún inconveniente.
ham,Te comparto el informe final del proyecto. Quedo atento a tus comentarios.
ham,Tu reservación para el curso ha sido confirmada. Recibirás más detalles por correo.
ham,Se adjunta la constancia de participación solicitada.
ham,Tu suscripción fue renovada exitosamente. Gracias por continuar con nosotros.
ham,Te envío el resumen de actividades que pediste. Avísame si necesitas otra cosa.
ham,El profesor informó que la clase de hoy se canceló. La reprogramación se avisará pronto.
ham,El paquete está listo para recoger en la sucursal más cercana.
ham,Tu solicitud de soporte ha sido recibida. Un agente te contactará en breve.
ham,Aquí tienes las diapositivas de la presentación de hoy.
ham,El servidor estará en mantenimiento el sábado de 2 a 4 AM.
ham,Te confirmamos que tu devolución fue procesada correctamente.
ham,Puedes recoger tu credencial mañana a partir de las 9:00 AM.
ham,El archivo solicitado ya está disponible en la carpeta compartida.
ham,Tu mensaje ha sido recibido, responderemos lo antes posible.
ham,La clase del viernes será en el aula B-12 en lugar de la A-03.
ham,El sistema registró tu asistencia correctamente.
ham,Gracias por actualizar tu información en la plataforma.
ham,Se adjunta el reporte mensual con las métricas del proyecto.
ham,Confirmamos tu inscripción al taller del próximo lunes.
ham,Estamos preparando tu factura; la recibirás en las próximas horas.
ham,El envío está en tránsito y llegará mañana antes de las 3 PM.
ham,Tu turno para atención será llamado en aproximadamente 10 minutos.
ham,Recibimos la documentación que enviaste. Está en revisión.
ham,El profesor compartió las notas de la clase. Ya están en la plataforma.
ham,Hola, solo para recordarte que hoy vence la entrega del formulario.
ham,La actualización del sistema finalizó exitosamente.
ham,Te notificamos que ya puedes recoger tus resultados en recepción.
ham,Gracias por tu asistencia al evento de ayer.
ham,Tu constancia digital ya fue generada. Puedes descargarla.
ham,La biblioteca confirmó la prórroga del préstamo de libros.
ham,Se agregó tu comentario correctamente.
ham,La actividad grupal se reprogramó para el martes a las 11 AM.
ham,Tu reunión agendada empieza en 5 minutos.
ham,Hemos recibido tu solicitud de reembolso y comenzaremos el proceso.
ham,El director compartió un aviso importante; puedes leerlo en la plataforma.
ham,Te enviamos tu comprobante fiscal del mes pasado.
ham,La capacitación del día sábado se realizará de manera virtual.
ham,El proyecto fue aprobado y pasará a la siguiente fase.
ham,Tu método de pago fue actualizado correctamente.
ham,Adjunto el documento que solicitaste en la reunión pasada.
ham,Buen día, les recuerdo que mañana tendremos la reunión del proyecto final a las 10:00 AM en el aula virtual.
ham,"Hola, tu contraseña fue actualizada correctamente. Si tú realizaste este cambio, no necesitas hacer nada más."
ham,"Tu paquete ha sido enviado y llegará entre el 20 y el 22 de febrero. Puedes revisar el seguimiento en tu cuenta."
ham,"Buenas tardes, te adjunto el archivo con la actividad que quedamos en revisar. Cualquier comentario me dices."
ham,"Adjuntamos tu comprobante de inscripción del semestre. Revisa que los datos sean correctos."
ham,"Recordatorio: mañana tenemos junta del equipo a las 9:30 AM. Favor de confirmar asistencia."
ham,"Tu cita médica está confirmada para el jueves a las 16:00 horas."
ham,"Gracias por enviar tu tarea. La revisión estará lista mañana."
ham,"El sistema ha registrado tu solicitud correctamente. Nos comunicaremos contigo pronto."
ham,"Se ha generado tu comprobante de pago. Puedes descargarlo desde la plataforma."
ham,"La reunión semanal se moverá a las 12:00 PM. Avísame si hay algún inconveniente."
ham,"Te comparto el informe final del proyecto. Quedo atento a tus comentarios."
ham,"Tu reservación para el curso ha sido confirmada. Recibirás más detalles por correo."
ham,"Se adjunta la constancia de participación solicitada."
ham,"Tu suscripción fue renovada exitosamente. Gracias por continuar con nosotros."
ham,"Te envío el resumen de actividades que pediste. Avísame si necesitas otra cosa."
ham,"El profesor informó que la clase de hoy se canceló. La reprogramación se avisará pronto."
ham,"El paquete está listo para recoger en la sucursal más cercana."
ham,"Tu solicitud de soporte ha sido recibida. Un agente te contactará en breve."
ham,"Aquí tienes las diapositivas de la presentación de hoy."
ham,"El servidor estará en mantenimiento el sábado de 2 a 4 AM."
ham,"Te confirmamos que tu devolución fue procesada correctamente."
ham,"Puedes recoger tu credencial mañana a partir de las 9:00 AM."
ham,"El archivo solicitado ya está disponible en la carpeta compartida."
ham,"Tu mensaje ha sido recibido, responderemos lo antes posible."
ham,"La clase del viernes será en el aula B-12 en lugar de la A-03."
ham,"El sistema registró tu asistencia correctamente."
ham,"Gracias por actualizar tu información en la plataforma."
ham,"Se adjunta el reporte mensual con las métricas del proyecto."
ham,"Confirmamos tu inscripción al taller del próximo lunes."
ham,"Estamos preparando tu factura; la recibirás en las próximas horas."
ham,"El envío está en tránsito y llegará mañana antes de las 3 PM."
ham,"Tu turno para atención será llamado en aproximadamente 10 minutos."
ham,"Recibimos la documentación que enviaste. Está en revisión."
ham,"El profesor compartió las notas de la clase. Ya están en la plataforma."
ham,"Hola, solo para recordarte que hoy vence la entrega del formulario."
ham,"La actualización del sistema finalizó exitosamente."
ham,"Te notificamos que ya puedes recoger tus resultados en recepción."
ham,"Gracias por tu asistencia al evento de ayer."
ham,"Tu constancia digital ya fue generada. Puedes descargarla."
ham,"La biblioteca confirmó la prórroga del préstamo de libros."
ham,"Se agregó tu comentario correctamente."
ham,"La actividad grupal se reprogramó para el martes a las 11 AM."
ham,"Tu reunión agendada empieza en 5 minutos."
ham,"Hemos recibido tu solicitud de reembolso y comenzaremos el proceso."
ham,"El director compartió un aviso importante; puedes leerlo en la plataforma."
ham,"Te enviamos tu comprobante fiscal del mes pasado."
ham,"La capacitación del día sábado se realizará de manera virtual."
ham,"El proyecto fue aprobado y pasará a la siguiente fase."
ham,"Tu método de pago fue actualizado correctamente."
ham,"Adjunto el documento que solicitaste en la reunión pasada."
