label,message
ham, solo para recordarte que hoy vence la entrega del formulario.
ham,"Buen día, les recuerdo que mañana tendremos la reunión del proyecto final a las 10:00 AM en el aula virtual."
ham,Tu paquete ha sido enviado y llegará entre el 20 y el 22 de febrero. Puedes revisar el seguimiento en tu cuenta.
ham,La reunión semanal se moverá a las 12:00 PM. Avísame si hay algún inconveniente.
ham,Te envío el resumen de actividades que pediste. Avísame si necesitas otra cosa.
ham,El profesor informó que la clase de hoy se canceló. La reprogramación se avisará pronto.
ham,El paquete está listo para recoger en la sucursal más cercana.
ham,Aquí tienes las diapositivas de la presentación de hoy.
ham,El servidor estará en mantenimiento el sábado de 2 a 4 AM.
ham,La clase del viernes será en el aula B-12 en lugar de la A-03.
ham,Se adjunta el reporte mensual con las métricas del proyecto.
ham,El envío está en tránsito y llegará mañana antes de las 3 PM.
ham,Tu turno para atención será llamado en aproximadamente 10 minutos.
ham,Recibimos la documentación que enviaste. Está en revisión.
ham,El profesor compartió las notas de la clase. Ya están en la plataforma.
ham,"Hola, solo para recordarte que hoy vence la entrega del formulario."
ham,La biblioteca confirmó la prórroga del préstamo de libros.
ham,La actividad grupal se reprogramó para el martes a las 11 AM.
ham,Tu reunión agendada empieza en 5 minutos.
ham,Tu paquete ya está¡ listo para ser recogido en la oficina de correos mÃ¡s cercana. [enlace legi­timo]
ham,Tu pedido #12345 ha sido enviado. Haz clic aquÃ­ para rastrearlo: [enlace legítimo]
ham,Tu paquete ya estÃ¡ listo para ser recogido en la oficina de correos mÃ¡s cercana. [enlace legÃ­timo]
ham,Tu pedido #12345 ha sido enviado. Haz clic aquÃ­ para rastrearlo: [enlace legÃ­timo]
ham,¡Hola! Â¿QuÃ© tal todo?
ham,Su paquete ha llegado a la oficina de correos. RecÃ³jalo dentro de 48 horas.
ham,Su paquete ha llegado a la oficina de correos. RecÃ³jalo dentro de 48 horas.
ham,Su paquete serÃ¡ entregado maÃ±ana. Gracias por su compra.
ham,Su paquete serÃ¡ entregado maÃ±ana. Gracias por su compra.
ham,Su paquete serÃ¡ entregado maÃ±ana. Gracias por su compra.
ham,Su paquete serÃ¡ entregado maÃ±ana. Gracias por su compra.
ham,Su paquete serÃ¡ entregado maÃ±ana. Gracias por su compra.
